State Name,County Name,County FIPS,Population,Deaths,Crude Rate,Age Adjusted Rate,YPLL,YPLL Crude Rate,YPLL Age-Adjusted Rate,appliedFilters
MA,Barnstable,1,,19****,8.56**,8.87**,389,227.89,266.86,"Suicide All Injury Deaths, Massachusetts state(s), All Races race(s), All Ethnicities Ethincity, All Sexes, Year Range: 2005 - 2005, All Ages"
MA,Berkshire,3,,--,--,--,.,.,121.46,"Suicide All Injury Deaths, Massachusetts state(s), All Races race(s), All Ethnicities Ethincity, All Sexes, Year Range: 2005 - 2005, All Ages"
MA,Bristol,5,,29,5.32,5.12,613,130.01,129.36,"Suicide All Injury Deaths, Massachusetts state(s), All Races race(s), All Ethnicities Ethincity, All Sexes, Year Range: 2005 - 2005, All Ages"
MA,Dukes,7,,--,--,--,.,.,24.11,"Suicide All Injury Deaths, Massachusetts state(s), All Races race(s), All Ethnicities Ethincity, All Sexes, Year Range: 2005 - 2005, All Ages"
MA,Essex,9,,67,9.19,9.35,1569,248.87,268.04,"Suicide All Injury Deaths, Massachusetts state(s), All Races race(s), All Ethnicities Ethincity, All Sexes, Year Range: 2005 - 2005, All Ages"
MA,Franklin,11,,11****,15.30**,14.12**,209,337.74,352.86,"Suicide All Injury Deaths, Massachusetts state(s), All Races race(s), All Ethnicities Ethincity, All Sexes, Year Range: 2005 - 2005, All Ages"
MA,Hampden,13,,48,10.41,10.40,1030,259.54,268.74,"Suicide All Injury Deaths, Massachusetts state(s), All Races race(s), All Ethnicities Ethincity, All Sexes, Year Range: 2005 - 2005, All Ages"
MA,Hampshire,15,,10****,6.44**,6.26**,188,137.35,136.88,"Suicide All Injury Deaths, Massachusetts state(s), All Races race(s), All Ethnicities Ethincity, All Sexes, Year Range: 2005 - 2005, All Ages"
MA,Middlesex,17,,107,7.36,6.94,2252,177.58,170.29,"Suicide All Injury Deaths, Massachusetts state(s), All Races race(s), All Ethnicities Ethincity, All Sexes, Year Range: 2005 - 2005, All Ages"
MA,Nantucket,19,,--,--,--,.,.,340.05,"Suicide All Injury Deaths, Massachusetts state(s), All Races race(s), All Ethnicities Ethincity, All Sexes, Year Range: 2005 - 2005, All Ages"
MA,Norfolk,21,,44,6.75,6.46,875,156.36,162.25,"Suicide All Injury Deaths, Massachusetts state(s), All Races race(s), All Ethnicities Ethincity, All Sexes, Year Range: 2005 - 2005, All Ages"
MA,Plymouth,23,,39,8.02,7.90,746,174.50,185.02,"Suicide All Injury Deaths, Massachusetts state(s), All Races race(s), All Ethnicities Ethincity, All Sexes, Year Range: 2005 - 2005, All Ages"
MA,Suffolk,25,,34,4.95,4.95,744,121.20,110.49,"Suicide All Injury Deaths, Massachusetts state(s), All Races race(s), All Ethnicities Ethincity, All Sexes, Year Range: 2005 - 2005, All Ages"
MA,Worcester,27,,62,7.94,7.82,1299,189.73,195.23,"Suicide All Injury Deaths, Massachusetts state(s), All Races race(s), All Ethnicities Ethincity, All Sexes, Year Range: 2005 - 2005, All Ages"
"** indicates Unstable values, -- indicates Suppressed values, --* indicates Secondary Suppression
§ County data for years prior to 2008 were mapped to vintage 2008 census definitions where possible. 
Records without a county name are not able to be mapped, but are included in the tabular data view. Read More at 'https://www.cdc.gov/injury/wisqars/fatal_help/fatal_dataviz.html#county",,,,,,,,,,
